State,District,University Type,University Name,University_Name_Cleaned,University ID,College Name,College_Name_Cleaned,College Id,College Type,Address,Website,Management,Year of Establishment,Specialised in,Location,Upload Year,The Institute Added In Survey Year,Location_Cleaned,Management_Cleaned,Segregation_type,Year_of_Establishment_cleaned
Kerala,Kozhikode,State Public University,"UNIVERSITY OF CALICUT, MALAPPURAM (Id: U-0251)","UNIVERSITY OF CALICUT, MALAPPURAM",U-0251,EDUCOS ARTS AND SCIENCE COLLEGE (Id: C-51975),EDUCOS ARTS AND SCIENCE COLLEGE,C-51975,Affiliated College,"EDUCOS Arts and Science College, Kuttiady, Kuttiady",,Private Un-Aided,2015,No,Rural,2020,2014,Rural,Private Un-Aided,Private,2015
Kerala,Ernakulam,State Public University,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Mahatma Gandhi University, Kottayam",U-0262,"Seth Ram Bahadur Singh Gujarathi College, Gujarathi Road, Kochi - 682 002 (Id: C-11809)","Seth Ram Bahadur Singh Gujarathi College, Gujarathi Road, Kochi - 682 002",C-11809,Affiliated College,"S R B S GUJARATI COLLEGE, GUJARATI ROAD, MATTANCHERRY, KOCHI-682002, KOCHI",cochingujaratimahajan.com,Private Un-Aided,2002,No,Urban,2020,2010,Urban,Private Un-Aided,Private,2002
Kerala,Ernakulam,State Public University,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Mahatma Gandhi University, Kottayam",U-0262,"De Paul Institute of Science and Technology, De Paul Nagar, Angamaly South 683573 (Id: C-11656)","De Paul Institute of Science and Technology, De Paul Nagar, Angamaly South 683573",C-11656,Affiliated College,"De Paul Nagar, Angamaly South, ANGAMALY",www.depaul.edu.in,Private Un-Aided,2002,No,Urban,2020,2010,Urban,Private Un-Aided,Private,2002
Kerala,Malappuram,State Public University,"UNIVERSITY OF CALICUT, MALAPPURAM (Id: U-0251)","UNIVERSITY OF CALICUT, MALAPPURAM",U-0251,"SREE VIEKANANDA PADANA KENDRAM ARTS & SCIENCE COLLEGE, PALEMAD, EDAKKARA (Id: C-8113)","SREE VIEKANANDA PADANA KENDRAM ARTS & SCIENCE COLLEGE, PALEMAD, EDAKKARA",C-8113,Affiliated College,"Palemad, Palemad (P.O.), Edakkara, , ",https://svpkcollege.ac.in/,Private Un-Aided,2003,No,Rural,2020,2010,Rural,Private Un-Aided,Private,2003
Kerala,Ernakulam,State Public University,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Mahatma Gandhi University, Kottayam",U-0262,"Union Christian College, Aluva  (Id: C-11742)","Union Christian College, Aluva",C-11742,Affiliated College,"Union Christian College, P.O Box No. 5, UC College (PO), Aluva",www.uccollege.edu.in,Private Aided,1921,No,Rural,2020,2010,Rural,Private Aided,Private,1921
Kerala,Wayanad,State Public University,"UNIVERSITY OF CALICUT, MALAPPURAM (Id: U-0251)","UNIVERSITY OF CALICUT, MALAPPURAM",U-0251,"SNDP Yogam Arts & Science College, Pulpally (Id: C-8210)","SNDP Yogam Arts & Science College, Pulpally",C-8210,Affiliated College,"SNDP YOGAM ARTS AND SCIENCE COLLEGE PULPALLY,THANNITHERUVU",www.sndpyogamcollegepulpally.com,Local Body,2010,No,Rural,2018,2010,Rural,Local Body,Government,2010
Kerala,Ernakulam,State Public University,KERALA UNIVERSITY OF HEALTH AND ALLIED SCIENCES (Id: U-0630),KERALA UNIVERSITY OF HEALTH AND ALLIED SCIENCES,U-0630,"LISIEUX COLLEGE OF PARAMEDICAL SCIENCES, MOOKKANNOOR (Id: C-55128)","LISIEUX COLLEGE OF PARAMEDICAL SCIENCES, MOOKKANNOOR",C-55128,Affiliated College,"MAGJ HOSPITAL, CAMPUS, MOOKKANNOOR P O, ANGAMALLY",www.lcps.in,Private Un-Aided,2013,Para Medical,Rural,2020,2014,Rural,Private Un-Aided,Private,2013
Kerala,Thiruvananthapuram,State Public University,"University of Kerala, Thiruvananthapuram (Id: U-0260)","University of Kerala, Thiruvananthapuram",U-0260,"National Institute of Speech and Hearing, Karimanal, Akkulam, Thiruvananthapuram (Id: C-43609)","National Institute of Speech and Hearing, Karimanal, Akkulam, Thiruvananthapuram",C-43609,Affiliated College,"NISH Road, Akkulam, Sreekariyam PO, Thiruvananthapuram",www.nish.ac.in,State Government,1997,Degree for Deaf Students under University of Kerala ASLP BOT under KUHS,Rural,2020,2010,Rural,State Government,Government,1997
Kerala,Thiruvananthapuram,State Public University,"University of Kerala, Thiruvananthapuram (Id: U-0260)","University of Kerala, Thiruvananthapuram",U-0260,CSI INSTITUTE OF LEGAL STUDIES (Id: C-54065),CSI INSTITUTE OF LEGAL STUDIES,C-54065,Affiliated College,"Cheruvarakonam, Parassala, Parassala",www.csiils.com,Private Un-Aided,2013,Law,Rural,2020,2014,Rural,Private Un-Aided,Private,2013
Kerala,Kannur,State Public University,"Kannur University, Kannur (Id: U-0256)","Kannur University, Kannur",U-0256,"Naher Arts & Science College, Kanhirode, P.O Kanhirode(Via Koodali, Kannur (Id: C-43860)","Naher Arts & Science College, Kanhirode, P.O Kanhirode(Via Koodali, Kannur",C-43860,Affiliated College,"KOODALI, KANHIRODE, KANNUR",www.nahercollege.ac.in,Private Un-Aided,2012,No,Rural,2019,2010,Rural,Private Un-Aided,Private,2012
Kerala,Thrissur,State Public University,"UNIVERSITY OF CALICUT, MALAPPURAM (Id: U-0251)","UNIVERSITY OF CALICUT, MALAPPURAM",U-0251,CALICUT UNIVERSITY TEACHER EDUCATION CENTRE VALAPAD (Id: C-59064),CALICUT UNIVERSITY TEACHER EDUCATION CENTRE VALAPAD,C-59064,Constituent / University College,,,,,,,NO,2017,Not Defined,Not Defined,Not Defined,Not Defined
Kerala,Thiruvananthapuram,State Public University,A P J ABDUL KALAM TECHNOLOGICAL UNIVERSITY (Id: U-0786),A P J ABDUL KALAM TECHNOLOGICAL UNIVERSITY,U-0786,M.G. College of Engineering (Id: C-9468),M.G. College of Engineering,C-9468,Recognized Center,"Vandithadam, Thiruvallam P.O, Thiruvanathapuram",www.mgcet.com,Private Un-Aided,2004,Engineering & Technology,Urban,2020,2010,Urban,Private Un-Aided,Private,2004
Kerala,Kannur,State Public University,"Kannur University, Kannur (Id: U-0256)","Kannur University, Kannur",U-0256,"College of Applied Science,PO- Kuthuparamba-Kannur (Id: C-43866)","College of Applied Science,PO- Kuthuparamba-Kannur",C-43866,Affiliated College,"College of Applied Science, Kottayam Malabar (PO), Kuthuparamba",www.caskoothuparamba.ihrd.ac.in,State Government,2000,No,Urban,2020,2010,Urban,State Government,Government,2000
Kerala,Kozhikode,State Public University,"UNIVERSITY OF CALICUT, MALAPPURAM (Id: U-0251)","UNIVERSITY OF CALICUT, MALAPPURAM",U-0251,"MES COLLEGE OF ARCHITECTURE, KAKKODI, KOZHIKODE (Id: C-48441)","MES COLLEGE OF ARCHITECTURE, KAKKODI, KOZHIKODE",C-48441,Affiliated College,"NEDUMALAKKUNNU, KIZHAKKUMMURI POST, KAKKODI VIA",www.mescoa.com,Private Un-Aided,2013,Architecture,Rural,2020,2013,Rural,Private Un-Aided,Private,2013
Kerala,Ernakulam,State Public University,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Mahatma Gandhi University, Kottayam",U-0262,"Baselios Poulose Second College, Piramadom, Emakulam - 686 667 (Id: C-11817)","Baselios Poulose Second College, Piramadom, Emakulam - 686 667",C-11817,Affiliated College,"Piramadom P. O., PIN 686667, Piramadom",www.bpscollege.com,Private Un-Aided,2003,No,Rural,2020,2010,Rural,Private Un-Aided,Private,2003
Kerala,Kasaragod,State Public University,"Kannur University, Kannur (Id: U-0256)","Kannur University, Kannur",U-0256,"People Institute of Management Studies, Munnad, Kasaragod (Id: C-43786)","People Institute of Management Studies, Munnad, Kasaragod",C-43786,Affiliated College,"EMS Aksharagramam, munnad, Chengala",www.pims.ac.in,Private Un-Aided,2009,Management,Rural,2020,2010,Rural,Private Un-Aided,Private,2009
Kerala,Kozhikode,State Public University,"UNIVERSITY OF CALICUT, MALAPPURAM (Id: U-0251)","UNIVERSITY OF CALICUT, MALAPPURAM",U-0251,AL IRSHAD ARTS AND SCIENCE COLLEGE FOR WOMEN (Id: C-51288),AL IRSHAD ARTS AND SCIENCE COLLEGE FOR WOMEN,C-51288,Affiliated College,"THECHIYAD, KALLURUTTY, OMASSERY",www.alirshad.in,Private Un-Aided,2014,No,Rural,2020,2014,Rural,Private Un-Aided,Private,2014
Kerala,Kannur,State Public University,"Kannur University, Kannur (Id: U-0256)","Kannur University, Kannur",U-0256,"CONCORD ARTS AND SCIENCE COLLEGE,MUTTANUR (Id: C-52098)","CONCORD ARTS AND SCIENCE COLLEGE,MUTTANUR",C-52098,Affiliated College,"Concord Educity, Muttanur, P.O.Pattanur, Concord Educity, Muttanur, P.O.Pattanur, Kannur",www.ooncordeducity.com,Private Un-Aided,2013,No,Rural,2020,2013,Rural,Private Un-Aided,Private,2013
Kerala,Pathanamthitta,State Public University,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Mahatma Gandhi University, Kottayam",U-0262,"University College of Teacher Education, Vocational Higher Secondary School Campus, Elanthoor, Pathanamthitta (Id: C-11791)","University College of Teacher Education, Vocational Higher Secondary School Campus, Elanthoor, Pathanamthitta",C-11791,Constituent / University College,"University College of Teacher Education, Vocational Higher Secondary School Campus, Elanthoor, Pathanamthitta, Kerala  PIN -689643, Elanthur",www.cte.cpas.ac.in,State Government,1992,Education/Teacher Education,Rural,2020,2010,Rural,State Government,Government,1992
Kerala,Malappuram,State Public University,"UNIVERSITY OF CALICUT, MALAPPURAM (Id: U-0251)","UNIVERSITY OF CALICUT, MALAPPURAM",U-0251,"AHALIA SCHOOL OF MANAGEMENT, KOZHIPPARA (Id: C-48472)","AHALIA SCHOOL OF MANAGEMENT, KOZHIPPARA",C-48472,Affiliated College,"Kozhippara (P.O), Palakkad, Palakkad",www.ahaliaschoolofmanagement.org,Private Un-Aided,2013,Management,Rural,2020,2013,Rural,Private Un-Aided,Private,2013
Kerala,Kozhikode,State Public University,"UNIVERSITY OF CALICUT, MALAPPURAM (Id: U-0251)","UNIVERSITY OF CALICUT, MALAPPURAM",U-0251,"KMO ARTS & SCIENCE COLLEGE, KODUVALLY (Id: C-8111)","KMO ARTS & SCIENCE COLLEGE, KODUVALLY",C-8111,Affiliated College,"KMO ARTS & SCIENCE COLLEGE, KODUVALLY, KODUVALLY, KODUVALLY",,Private Un-Aided,2005,No,Urban,2018,2010,Urban,Private Un-Aided,Private,2005
Kerala,Kollam,State Public University,"University of Kerala, Thiruvananthapuram (Id: U-0260)","University of Kerala, Thiruvananthapuram",U-0260,"Marthoma College of Science and Technology, Chadayamangalam (Id: C-43753)","Marthoma College of Science and Technology, Chadayamangalam",C-43753,Affiliated College,"Chadayamangalam.P.O, Chadayamangalam",www.mtcstayur.org,Private Un-Aided,1995,No,Rural,2020,2010,Rural,Private Un-Aided,Private,1995
Kerala,Palakkad,State Public University,"UNIVERSITY OF CALICUT, MALAPPURAM (Id: U-0251)","UNIVERSITY OF CALICUT, MALAPPURAM",U-0251,Centre for Computer Science and Information Technology (Id: C-61891),Centre for Computer Science and Information Technology,C-61891,PG Center / Off-Campus Center,,,,,,,NO,2019,Not Defined,Not Defined,Not Defined,Not Defined
Kerala,Kozhikode,State Public University,"UNIVERSITY OF CALICUT, MALAPPURAM (Id: U-0251)","UNIVERSITY OF CALICUT, MALAPPURAM",U-0251,"GOVERNMENT ARTS AND SCIENCE COLLEGE,NADAPURAM,P.O.VANIMEL,(VIA)KALLACHI,PIN 673506 (Id: C-51995)","GOVERNMENT ARTS AND SCIENCE COLLEGE,NADAPURAM,P.O.VANIMEL,(VIA)KALLACHI,PIN 673506",C-51995,Affiliated College,"Vishnumangalam P O, (Via)Kallachi, Nadapuram",www.governmentcollegenadapuram.ac.in,State Government,2014,No,Rural,2020,2014,Rural,State Government,Government,2014
Kerala,Thrissur,State Public University,"UNIVERSITY OF CALICUT, MALAPPURAM (Id: U-0251)","UNIVERSITY OF CALICUT, MALAPPURAM",U-0251,"THAQVA AFZAL ULLAMA ARABIC COLLEGE, ANDATHODE (Id: C-8027)","THAQVA AFZAL ULLAMA ARABIC COLLEGE, ANDATHODE",C-8027,Affiliated College,"THAQWA AFZAL UL ULAMA ARABIC COLLEGE, ANDATHODE POST, 679564 THRISSUR DT. KERALA, ANDATHODE",www.thaqwa.net,Private Un-Aided,2005,Oriental Learning,Rural,2020,2010,Rural,Private Un-Aided,Private,2005
Kerala,Alappuzha,State Public University,"University of Kerala, Thiruvananthapuram (Id: U-0260)","University of Kerala, Thiruvananthapuram",U-0260,KERALA UNIVERSITY COLLEGE OF TEACHER EDUCATION  KUNNAM (Id: C-57031),KERALA UNIVERSITY COLLEGE OF TEACHER EDUCATION KUNNAM,C-57031,Constituent / University College,"KUNNAM P O, MAVELIKKARA",www.kuctekunnam.org,University,1994,No,Rural,2020,2016,Rural,University,Government,1994
Kerala,Ernakulam,State Public University,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Mahatma Gandhi University, Kottayam",U-0262,"K.M.M. College of Arts & Science, Thrikkakara. Cochin - 682 021 (Id: C-11807)","K.M.M. College of Arts & Science, Thrikkakara. Cochin - 682 021",C-11807,Affiliated College,"K.M.M. College of Arts & Science, Thrikkakara.  P. O. Cochin - 21, 682021, Cochin",www.kmmcollege.com,Private Un-Aided,2008,No,Urban,2020,2010,Urban,Private Un-Aided,Private,2008
Kerala,Kottayam,State Public University,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Mahatma Gandhi University, Kottayam",U-0262,"University College of Pharmacy, Thalappady, Kottayam (Id: C-11759)","University College of Pharmacy, Thalappady, Kottayam",C-11759,Constituent / University College,"Rubber Board P.O., Kottayam",www.mgu.ac.in,State Government,1993,Pharmacy,Rural,2020,2010,Rural,State Government,Government,1993
Kerala,Kottayam,State Public University,"Mahatma Gandhi University, Kottayam (Id: U-0262)","Mahatma Gandhi University, Kottayam",U-0262,"St. John The Baptists' College of Special Education, Nedumkunnam (Id: C-11736)","St. John The Baptists' College of Special Education, Nedumkunnam",C-11736,Affiliated College,"Nedumkunnam P.O., Nedumkunnam, Kottayam",www.sjbspecialeducation.org,Private Un-Aided,2006,Education/Teacher Education,Rural,2020,2010,Rural,Private Un-Aided,Private,2006
Kerala,Kozhikode,State Public University,"UNIVERSITY OF CALICUT, MALAPPURAM (Id: U-0251)","UNIVERSITY OF CALICUT, MALAPPURAM",U-0251,"KET COLLEGE OF TEACHER EDUCATION,ULLIYERI (Id: C-8105)","KET COLLEGE OF TEACHER EDUCATION,ULLIYERI",C-8105,Affiliated College,"Kokkallur Post, Balussery Via, Kozhikode",www.ketcollege.co.in,Private Un-Aided,2007,No,Urban,2020,2010,Urban,Private Un-Aided,Private,2007
